#
# Characters.csv for "Dark Tower: All Hail" LARP.
#
# Characters table for ArmLet initialization.
#
# Generated, updated from JoinRPG and used by CharacterProcessor.py
# to track persistent unique character Reason IDs.
#
# !!! DO NOT EDIT !!!
#
# Generated at 2018-05-24 22:26:08
#
rID,shortName,isManni,dogan,kaTet,isDead,hasMusic
128,JRight,0,2,JRight:Samantha,1,0
129,CRandall,0,-2,,0,1
130,RDias,0,-1,,0,1
131,DRice,0,-2,,0,1
132,Brody,0,-1,,0,1
133,AFlores,1,0,,0,0
134,Isaak,1,1,Cordelia:Isaak:Ruth,0,1
135,Cordelia,1,1,Cordelia:Isaak:Ruth,0,1
136,ETodd,0,0,,0,0
137,FPibody,0,0,,0,0
138,SManson,0,1,,0,0
139,MAndersen,0,-1,,0,0
140,RHarris,0,0,,0,0
141,KMurray,0,0,CTramunti:JKuroki:KMurray:LMally,0,0
142,JShmidt,0,0,,0,0
143,PSayer,0,-2,,0,0
144,JKuroki,0,0,CTramunti:JKuroki:KMurray:LMally,0,0
145,MWoshen,0,0,,0,0
146,RRobin,0,2,,0,0
147,MGeiger,0,1,,0,0
148,LMally,0,0,CTramunti:JKuroki:KMurray:LMally,0,0
149,TSoyer,0,0,,0,0
150,ALaiden,0,1,,0,0
151,CBendetsen,0,0,,0,0
152,BKuroki,0,0,,0,0
153,IHaig,0,0,,0,0
154,AHarmett,0,0,,0,0
155,ASExupery,0,1,,0,0
156,HChehoff,0,0,,0,0
157,RParkinson2,0,0,,0,0
158,EPeirce,0,0,,0,0
159,SAlexakis,0,0,,0,0
160,JBraun,0,-2,,0,0
161,RBodony,0,1,,0,0
162,JMcArthur,0,2,,0,0
163,CTramunti,0,0,CTramunti:JKuroki:KMurray:LMally,0,0
164,LEsposito,0,0,,0,0
165,SCaracapa,0,-1,,0,0
166,JWolf,0,-1,JWolf:MHall,0,0
167,RKuroki,0,0,,0,0
168,SKuroki,0,0,,0,0
169,JFoundleen,0,1,,0,0
170,SGerraro,0,-1,,0,1
171,MGerraro,0,-1,,0,0
172,RGerraro,0,-1,,0,2
173,EGerraro,0,-1,,0,1
174,GGerraro,0,0,,0,0
175,GMorano,1,0,,0,1
176,LMorano,0,-1,,0,1
177,EMorano,0,1,,0,1
178,AMorano,0,0,,0,1
179,CMorano,0,0,,0,1
180,DJamison,0,0,DJamison:SJamison,0,1
181,SJamison,0,1,DJamison:SJamison,0,1
182,JJamison,0,0,,0,0
183,ESatton,0,0,,0,0
184,DSatton,0,0,,0,1
185,LSatton,0,1,,0,1
186,SoManson,0,1,,0,1
187,RParkinson1,0,1,,0,1
188,WBray,0,0,,0,1
189,HBray,0,0,,0,0
190,BCassidy,0,1,BCassidy:SQueen,0,1
191,SWinch,0,1,DWinch:MParker:SWinch:Seven,0,0
192,DWinch,0,1,DWinch:MParker:SWinch:Seven,0,1
193,IGerraro,0,0,,0,0
194,Ruth,1,1,Cordelia:Isaak:Ruth,0,2
195,Seven,0,1,DWinch:MParker:SWinch:Seven,0,1
196,SQueen,0,1,BCassidy:SQueen,0,1
197,MParker,0,1,DWinch:MParker:SWinch:Seven,0,1
198,Samantha,0,1,JRight:Samantha,0,1
199,RMcCoy,0,1,,0,0
200,JPiters,0,0,,0,1
201,MHall,0,-1,JWolf:MHall,0,0
202,SuManson,0,0,,0,0
203,SiManson,0,0,,0,1
204,SaManson,0,0,,0,1
205,RGato,0,0,,0,0
206,HYork,0,-1,,1,1
207,EFlores,1,0,,0,1
208,AGato,0,0,,0,0
209,JSallivan,0,-1,,0,0
210,CBray,0,-1,,0,0
