#
# Reasons.csv for "Dark Tower: All Hail" LARP.
#
# Used to build Reasons (rID<->rName) global map and Reasons to Emotions (rID->eID) global map.
#
# Generated by EmotionProcessor.py
#
# !!! DO NOT EDIT !!!
#
# Generated at 2018-04-01 02:24:06
#
rID,rName,level,timeout,doganAmount,eID,eName
0,BEAM,1,5,2,,BEAM
1,BEAM_CLOSE,1,5,1,,BEAM_CLOSE
2,BECOME_CORRUPTED,0,0,0,,CORRUPT
3,BECOME_CRIMSON,0,0,0,,CRIMSON
4,BECOME_CRIMSONISH,0,0,0,,CRIMSONISH
5,BECOME_CRIMSON_SERVANT,0,0,0,,
6,BECOME_NEUTRAL,0,0,0,,NEUTRAL
7,BECOME_WHITE,0,0,0,,WHITE
8,BECOME_WHITE_MESSENGER,0,0,0,,
9,BECOME_WHITISH,0,0,0,,WHITISH
10,BLESSED_PLACE,2,15,1,,BLESS
11,CRIMSON_BROADCAST1,3,600,0,,CRIMSON_BROADCAST1
12,CRIMSON_BROADCAST2,3,600,0,,CRIMSON_BROADCAST2
13,CRIMSON_BROADCAST3,3,600,0,,CRIMSON_BROADCAST3
14,CRIMSON_FEELING,3,600,0,,
15,CRIMSON_GRIEVE,3,0,0,,CRIMSON_GRIEVE
16,CRIMSON_KING_SONG,1,15,-3,,CRIMSON_KING_SONG
17,CRIMSON_LAUGH,0,0,0,,CRIMSON_LAUGH
18,CRIMSON_PLACE,2,15,1,,CRIMSON_PLACE
19,CRIMSON_SERVANT,1,15,0,,CRIMSON_SERVANT
20,CRIMSON_SERVANT_FEELING,3,600,0,,CRIMSON_SERVANT_FEELING
21,DEATH,0,30,0,,DEATH
22,DESTROY_KATET,0,0,0,,DESTROY_KATET
23,DOOR_ACTIVATED,0,0,0,,DOOR
24,DOOR_FAR,3,5,0,,
25,DOOR_FAR_MANNI,0,-1,0,,DOOR_FAR
26,DOOR_LEFT,0,0,0,,
27,DOOR_NEAR,1,5,0,,
28,DOOR_NEAR_MANNI,0,-1,0,,DOOR_NEAR
29,EAGLE,1,15,3,,EAGLE
30,FEAR,0,-1,0,,FEAR
