#
# Sources.csv for "Dark Tower: All Hail" LARP.
#
# Used to build Sources to Reasons (sID->rID) global map.
#
# Generated by EmotionProcessor.py
#
# !!! DO NOT EDIT !!!
#
# Generated at 2017-07-01 07:49:45
#
sID,rName
0,MASTERKA
1,DEADLAND
2,DEATH
3,REBOOT
4,RESET
5,AMBIENT
6,BEAM
7,BEAM
8,BEAM
9,BEAM
10,BEAM
11,BEAM
12,BEAM
13,BEAM
14,BEAM
15,BEAM
16,BEAM_CLOSE
17,BEAM_CLOSE
18,BEAM_CLOSE
19,BEAM_CLOSE
20,BEAM_CLOSE
21,BEAM_CLOSE
22,BEAM_CLOSE
23,BEAM_CLOSE
24,BEAM_CLOSE
25,BEAM_CLOSE
26,BEAM_CLOSE
27,BEAM_CLOSE
28,BEAM_CLOSE
29,BEAM_CLOSE
30,BEAM_CLOSE
31,BEAM_CLOSE
32,BEAM_CLOSE
33,BEAM_CLOSE
34,BEAM_CLOSE
35,BEAM_CLOSE
36,CORRUPT
37,CRIMSON
38,CRIMSONISH
39,CRIMSON_BROADCAST1
40,CRIMSON_BROADCAST1
41,CRIMSON_BROADCAST1
42,CRIMSON_BROADCAST2
43,CRIMSON_BROADCAST2
44,CRIMSON_BROADCAST2
45,CRIMSON_BROADCAST3
46,CRIMSON_BROADCAST3
47,CRIMSON_BROADCAST3
48,CRIMSON_FEELING
49,CRIMSON_FEELING
50,CRIMSON_FEELING
51,CRIMSON_SERVANT
52,CRIMSON_SERVANT_FEELING
53,CRIMSON_SERVANT_FEELING
54,CRIMSON_SERVANT_FEELING
55,DOOR
56,EAGLE
57,EAGLE
58,FIGURE
59,FIGURE
60,GERRERO
61,GERRERO
62,GERRERO
63,GUNSLINGER_FEELING
64,GUNSLINGER_FEELING
65,GUNSLINGER_FEELING
66,INN
67,INN
68,INN
69,KA_TET
70,KA_TET_NEW
71,KA_TET_OLD
72,LION
73,LION
74,MANNI
75,MANNI
76,MANNI
77,MANNI
78,MANNI
79,MORANO
80,MORANO
81,MORANO
82,NEUTRAL
83,RAINBOW
84,RAINBOW
85,RAINBOW
86,RAINBOW
87,RAINBOW
88,RAINBOW
89,RAINBOW
90,RAINBOW
91,RAINBOW
92,RAINBOW
93,RAINBOW
94,RAINBOW
95,RAINBOW
96,ROSE
97,SQUARE
98,SQUARE
99,SQUARE
100,TIMELINE_GATHERING
101,TIMELINE_GATHERING
102,TIMELINE_GATHERING
103,TIMELINE_TRAIN
104,TIMELINE_TRAIN
105,TIMELINE_TRAIN
106,TOWNHOUSE
107,TOWNHOUSE
108,TOWNHOUSE
109,WHITE
110,WHITE_FEELING
111,WHITE_FEELING
112,WHITE_FEELING
113,WHITE_MESSENGER
114,WHITISH
115,BLESSED_PLACE
116,BLESSED_PLACE
117,BLESSED_PLACE
118,BLESSED_PLACE
119,BLESSED_PLACE
120,BLESSED_PLACE
121,BLESSED_PLACE
122,BLESSED_PLACE
123,BLESSED_PLACE
124,BLESSED_PLACE
125,CRIMSON_PLACE
126,CRIMSON_PLACE
127,CRIMSON_PLACE
128,CRIMSON_PLACE
129,CRIMSON_PLACE
130,CRIMSON_PLACE
131,CRIMSON_PLACE
132,CRIMSON_PLACE
133,CRIMSON_PLACE
134,CRIMSON_PLACE
135,DOOR_FAR
136,DOOR_FAR
137,DOOR_FAR
138,DOOR_FAR
139,DOOR_FAR
140,DOOR_FAR
141,DOOR_FAR
142,DOOR_FAR
143,DOOR_FAR
144,DOOR_FAR
145,DOOR_NEAR
146,DOOR_NEAR
147,DOOR_NEAR
148,DOOR_NEAR
149,DOOR_NEAR
150,FEAR_PLACE
151,FEAR_PLACE
152,FEAR_PLACE
153,FEAR_PLACE
154,FEAR_PLACE
155,FEAR_PLACE
156,FEAR_PLACE
157,FEAR_PLACE
158,FEAR_PLACE
159,FEAR_PLACE
160,THINNY
161,THINNY
162,THINNY
